x,y,theta,steer,speed
15.1693,0.231421,1.06074,-0.785475,0.999999
15.2038,0.293127,0.990025,-0.785475,0.999999
15.2426,0.352239,0.919309,-0.785475,0.999999
15.2855,0.408463,0.848593,-0.785475,0.999999
15.3322,0.461517,0.777877,-0.785474,0.999999
15.3826,0.511135,0.707161,-0.785474,0.999999
15.4364,0.557071,0.636445,-0.785474,0.999999
15.4932,0.599094,0.565729,-0.785474,0.999999
15.5529,0.636994,0.495013,-0.785474,0.999999
15.6151,0.670582,0.424297,-0.785474,0.999999
15.6796,0.69969,0.353581,-0.785474,0.999999
15.7459,0.724173,0.282865,-0.785474,0.999999
15.8138,0.743907,0.212149,-0.785474,0.999999
15.8829,0.758795,0.141433,-0.785474,0.999999
15.9529,0.768762,0.0707174,-0.785474,0.999999
16.0234,0.773758,1.43051e-06,-0.785474,0.999999
16.0941,0.773758,-0.0707145,-0.785474,0.999999
16.1647,0.768762,-0.141431,-0.785474,0.999999
16.2347,0.758796,-0.212147,-0.785474,0.999999
16.3038,0.743908,-0.282862,-0.785474,0.999999
16.3717,0.724174,-0.353578,-0.785474,0.999999
16.438,0.699692,-0.424294,-0.785474,0.999999
16.5025,0.670584,-0.49501,-0.785474,0.999999
16.5647,0.636996,-0.565726,-0.785474,0.999999
16.6244,0.599096,-0.636442,-0.785474,0.999999
16.6812,0.557073,-0.707158,-0.785474,0.999999
16.735,0.511137,-0.777874,-0.785474,0.999999
16.7853,0.461519,-0.84859,-0.785475,0.999999
16.8321,0.408465,-0.919307,-0.785475,0.999999
16.875,0.352242,-0.990023,-0.785475,0.999999
16.9138,0.293129,-1.06074,-0.785475,0.999999
16.9483,0.231424,-1.13145,-0.785475,0.999999
16.9784,0.167433,-1.20217,-0.785475,0.999999
17.0038,0.101478,-1.27289,-0.785475,0.999999
